,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
18041,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18042,female sanitary products,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18043,bottled beer,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18044,bottled beer,curd,hamburger meat,other vegetables,rolls/buns,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,
18045,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18046,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18047,bottled beer,bottled water,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18048,brown bread,chocolate,cream cheese,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
18049,popcorn,root vegetables,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18050,canned beer,chocolate,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18051,butter,coffee,detergent,fruit/vegetable juice,rolls/buns,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18052,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18053,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18054,baking powder,flour,sugar,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18055,UHT-milk,fruit/vegetable juice,newspapers,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
18056,margarine,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18057,cream cheese,margarine,other vegetables,rolls/buns,soups,specialty fat,,,,,,,,,,,,,,,,,,,,,,,,,,
18058,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18059,beef,chewing gum,frozen vegetables,photo/film,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
18060,beef,hygiene articles,long life bakery product,soda,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
18061,bottled water,pip fruit,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18062,frozen meals,pip fruit,softener,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18063,bottled water,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18064,cream cheese,pork,pudding powder,rolls/buns,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
18065,beef,dishes,hamburger meat,herbs,mayonnaise,other vegetables,pip fruit,rolls/buns,root vegetables,sausage,yogurt,,,,,,,,,,,,,,,,,,,,,
18066,chicken,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18067,beef,canned fish,cling film/bags,dishes,frankfurter,margarine,other vegetables,pasta,,,,,,,,,,,,,,,,,,,,,,,,
18068,cream cheese,dessert,dishes,other vegetables,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
18069,bottled water,herbs,oil,other vegetables,pip fruit,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
18070,bottled water,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18071,pork,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18072,newspapers,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18073,other vegetables,pip fruit,rolls/buns,sliced cheese,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
18074,chicken,domestic eggs,frankfurter,meat,onions,pip fruit,potato products,root vegetables,shopping bags,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,
18075,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18076,butter,frozen potato products,frozen vegetables,pickled vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
18077,bottled water,butter,canned fish,chocolate,citrus fruit,female sanitary products,house keeping products,hygiene articles,long life bakery product,napkins,other vegetables,pastry,pip fruit,processed cheese,red/blush wine,rubbing alcohol,salty snack,sausage,spread cheese,tropical fruit,whole milk,,,,,,,,,,,
18078,canned fish,citrus fruit,condensed milk,frozen vegetables,meat,meat spreads,spices,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
18079,detergent,dog food,hygiene articles,napkins,newspapers,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
18080,hamburger meat,margarine,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18081,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18082,chocolate,cooking chocolate,cream cheese,pip fruit,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
18083,bottled beer,cake bar,detergent,frozen dessert,frozen meals,potted plants,rolls/buns,soda,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,
18084,beef,butter milk,citrus fruit,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18085,butter,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18086,citrus fruit,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18087,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18088,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18089,frozen potato products,pastry,root vegetables,sausage,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18090,bottled water,curd,organic sausage,pork,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
18091,pastry,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18092,beverages,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18093,citrus fruit,newspapers,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18094,berries,sugar,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18095,bottled water,butter,fruit/vegetable juice,meat,rolls/buns,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18096,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18097,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18098,flour,rolls/buns,shopping bags,vinegar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
18099,bottled water,brown bread,citrus fruit,rolls/buns,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
18100,beverages,coffee,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18101,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18102,bottled water,newspapers,other vegetables,rolls/buns,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,
18103,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104,curd cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18105,UHT-milk,grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18106,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18107,margarine,other vegetables,photo/film,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18108,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18109,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18110,berries,dessert,rolls/buns,soda,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
18111,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18112,butter milk,cat food,cling film/bags,flour,instant coffee,newspapers,other vegetables,pork,rolls/buns,root vegetables,waffles,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,,,
18113,bottled water,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18114,bottled water,sausage,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18115,abrasive cleaner,bottled water,butter milk,curd cheese,onions,other vegetables,rolls/buns,sausage,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,
18116,pip fruit,rolls/buns,skin care,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18117,frankfurter,liquor (appetizer),napkins,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18118,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18119,bottled water,cooking chocolate,curd,curd cheese,domestic eggs,frozen vegetables,hygiene articles,margarine,organic sausage,packaged fruit/vegetables,pastry,rolls/buns,shopping bags,soft cheese,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,
18120,Instant food products,butter,curd,hamburger meat,pastry,processed cheese,sausage,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,
18121,bottled beer,bottled water,frankfurter,other vegetables,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,
18122,chicken,citrus fruit,female sanitary products,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
18123,pastry,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18124,berries,chocolate,curd,honey,pastry,rolls/buns,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
18125,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18126,bottled beer,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18127,bottled water,root vegetables,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18128,curd,newspapers,root vegetables,tea,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
18129,beef,bottled beer,bottled water,domestic eggs,margarine,newspapers,other vegetables,pickled vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,
18130,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18131,hamburger meat,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18132,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18133,domestic eggs,flour,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18134,dessert,newspapers,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18135,beverages,frozen fish,salt,snack products,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
18136,beef,berries,cat food,chocolate,citrus fruit,ham,rolls/buns,sausage,specialty bar,spread cheese,yogurt,,,,,,,,,,,,,,,,,,,,,
18137,bottled water,candy,chocolate,margarine,newspapers,red/blush wine,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,
18138,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18139,citrus fruit,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18140,beef,berries,grapes,newspapers,other vegetables,packaged fruit/vegetables,pork,root vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,
18141,curd,liver loaf,newspapers,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18142,frankfurter,frozen dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18143,napkins,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18144,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18145,candy,margarine,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18146,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18147,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18148,canned beer,chicken,other vegetables,red/blush wine,rolls/buns,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
18149,coffee,grapes,hair spray,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18150,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18151,bottled water,brown bread,canned beer,chocolate,cling film/bags,coffee,frankfurter,rolls/buns,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,
18152,brown bread,chocolate,frankfurter,hamburger meat,root vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18153,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18154,domestic eggs,frozen fish,fruit/vegetable juice,hygiene articles,margarine,skin care,waffles,white bread,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,
18155,candy,ice cream,pip fruit,rolls/buns,sausage,shopping bags,soda,specialty cheese,specialty chocolate,tropical fruit,,,,,,,,,,,,,,,,,,,,,,
18156,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18157,cream cheese,pip fruit,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18158,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18159,flour,flower (seeds),frozen vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18160,candy,pasta,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18161,frankfurter,other vegetables,pip fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18162,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18163,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18164,chicken,pasta,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18165,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18166,chocolate,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18167,bottled beer,liquor,misc. beverages,red/blush wine,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
18168,domestic eggs,frankfurter,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18169,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18170,frankfurter,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18171,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18172,hard cheese,sausage,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18173,candy,chocolate,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18174,coffee,root vegetables,tropical fruit,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
18175,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18176,beverages,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18177,butter,rolls/buns,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18178,cat food,coffee,cream cheese,curd,flour,margarine,rolls/buns,whisky,,,,,,,,,,,,,,,,,,,,,,,,
18179,canned fish,other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18180,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18181,curd,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18182,beef,brown bread,dish cleaner,dishes,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
18183,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18184,cereals,frozen meals,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18185,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18186,chocolate,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18187,UHT-milk,beef,domestic eggs,mayonnaise,newspapers,other vegetables,pork,root vegetables,shopping bags,spread cheese,toilet cleaner,zwieback,,,,,,,,,,,,,,,,,,,,
18188,bottled water,curd,fruit/vegetable juice,rolls/buns,soap,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
18189,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18190,beef,butter,candles,cat food,chocolate,dessert,hamburger meat,pasta,pork,root vegetables,sausage,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,
18191,cream cheese,rolls/buns,soda,soft cheese,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
18192,other vegetables,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18193,frozen vegetables,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18194,berries,butter,cereals,chicken,flower (seeds),napkins,photo/film,root vegetables,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,
18195,cat food,frozen vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18196,pastry,waffles,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18197,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18198,mustard,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18199,dog food,newspapers,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18200,citrus fruit,fish,long life bakery product,pork,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
18201,berries,tropical fruit,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18202,cling film/bags,coffee,dish cleaner,oil,pastry,pip fruit,rolls/buns,root vegetables,sausage,shopping bags,specialty bar,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,
18203,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18204,cream cheese,grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18205,frozen meals,newspapers,photo/film,rolls/buns,tropical fruit,waffles,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
18206,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18207,frankfurter,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18208,bottled beer,liquor,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18209,bottled beer,bottled water,pip fruit,pork,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
18210,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18211,baking powder,misc. beverages,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18212,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18213,processed cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18214,Instant food products,brown bread,hamburger meat,other vegetables,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,
18215,cream cheese,dental care,napkins,newspapers,rolls/buns,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,
18216,canned vegetables,chocolate,fruit/vegetable juice,newspapers,onions,other vegetables,soda,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,
18217,cocoa drinks,jam,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18218,hygiene articles,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18219,beverages,bottled beer,frankfurter,fruit/vegetable juice,hard cheese,meat,napkins,sausage,sparkling wine,specialty chocolate,whole milk,,,,,,,,,,,,,,,,,,,,,
18220,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18221,canned fish,cat food,pet care,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18222,brown bread,misc. beverages,other vegetables,pastry,pork,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
18223,bottled beer,bottled water,frankfurter,misc. beverages,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
18224,chewing gum,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18225,chicken,other vegetables,pastry,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18226,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18227,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18228,fruit/vegetable juice,hygiene articles,tea,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18229,brown bread,butter,frankfurter,frozen meals,grapes,other vegetables,pip fruit,red/blush wine,sausage,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,
18230,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18231,UHT-milk,bottled water,brown bread,citrus fruit,fruit/vegetable juice,onions,pastry,,,,,,,,,,,,,,,,,,,,,,,,,
18232,cat food,chocolate,frozen meals,fruit/vegetable juice,hygiene articles,newspapers,other vegetables,semi-finished bread,soda,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,
18233,beverages,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18234,beverages,chewing gum,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18235,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18236,hamburger meat,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18237,cookware,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18238,detergent,dish cleaner,frozen vegetables,grapes,ice cream,rolls/buns,soda,sugar,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,
18239,butter milk,candy,chocolate,coffee,hard cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
18240,oil,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18241,baking powder,cat food,chocolate,cooking chocolate,cream cheese,curd,oil,sugar,whipped/sour cream,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,
18242,cake bar,chocolate marshmallow,napkins,pasta,sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,
18243,canned fish,cat food,frozen meals,pasta,pet care,sauces,soda,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
18244,bottled water,processed cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18245,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18246,canned beer,frozen meals,red/blush wine,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18247,brown bread,butter,butter milk,candy,citrus fruit,curd,flour,fruit/vegetable juice,grapes,other vegetables,packaged fruit/vegetables,sausage,shopping bags,tropical fruit,waffles,yogurt,,,,,,,,,,,,,,,,
18248,candy,frozen meals,newspapers,rolls/buns,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
18249,beef,other vegetables,potted plants,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18250,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18251,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18252,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18253,chewing gum,misc. beverages,salty snack,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18254,rolls/buns,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18255,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18256,butter milk,cereals,chocolate,cleaner,fruit/vegetable juice,long life bakery product,newspapers,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,
18257,beef,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18258,brown bread,coffee,dog food,fruit/vegetable juice,pastry,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,
18259,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18260,UHT-milk,berries,bottled water,other vegetables,rolls/buns,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18261,bottled beer,butter,citrus fruit,dental care,light bulbs,long life bakery product,napkins,pip fruit,specialty bar,spices,,,,,,,,,,,,,,,,,,,,,,
18262,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18263,grapes,hamburger meat,pasta,pastry,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
18264,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18265,grapes,liquor (appetizer),waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18266,napkins,other vegetables,root vegetables,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18267,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18268,hamburger meat,nut snack,pasta,root vegetables,sliced cheese,soda,waffles,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,,,,,
18269,brandy,nuts/prunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18270,pastry,popcorn,salty snack,skin care,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
18271,cat food,chewing gum,cling film/bags,female sanitary products,other vegetables,sausage,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18272,bottled water,ham,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18273,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18274,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18275,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18276,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18277,detergent,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18278,chicken,other vegetables,rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18279,bottled beer,bottled water,chocolate,coffee,frankfurter,hamburger meat,waffles,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
18280,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18281,cat food,citrus fruit,female sanitary products,specialty chocolate,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
18282,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18283,beef,curd,dessert,dish cleaner,root vegetables,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
18284,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18285,salty snack,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18286,finished products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18287,cleaner,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18288,berries,bottled beer,brown bread,ham,napkins,pastry,root vegetables,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,
18289,brown bread,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18290,root vegetables,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18291,curd,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18292,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18293,chocolate,dental care,dessert,frozen dessert,oil,salty snack,soda,,,,,,,,,,,,,,,,,,,,,,,,,
18294,chicken,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18295,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18296,chocolate,finished products,pip fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18297,cleaner,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18298,rum,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18299,fruit/vegetable juice,potted plants,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18300,dessert,other vegetables,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18301,frozen fish,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18302,curd,dessert,hygiene articles,misc. beverages,pastry,shopping bags,soda,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,
18303,frozen vegetables,hygiene articles,newspapers,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
